title,genre,runtime,votes,rating,revenue,director,actor,description
Viral,Drama,85,3564,5.5,0.50,Henry Joost,Sofia Black-D'Elia,Following the outbreak of a virus that wipes out the majority of the human population a young woman documents her family's new life in quarantine and tries to protect her infected sister.
Gran Torino,Drama,116,595779,8.2,148.09,Clint Eastwood,Clint Eastwood,Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor
Burnt,Comedy,101,76469,6.6,13.65,John Wells,Bradley Cooper,Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.
Tall Men,Fantasy,133,173,3.2,0.50,Jonathan Holbrook,Dan Crisafulli,A challenged man is stalked by tall phantoms in business suits after he purchases a car with a mysterious black credit card.
Sleeping Beauty,Drama,101,27006,5.3,0.03,Julia Leigh,Emily Browning,A haunting portrait of Lucy a young university student drawn into a mysterious hidden world of unspoken desires.
Vampire Academy,Action,104,44111,5.6,7.79,Mark Waters,Zoey Deutch,Rose Hathaway is a Dhampir half human-half vampire a guardian of the Moroi peaceful mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty immortal Vampires the Strigoi.
Sweeney Todd: The Demon Barber of Fleet Street,Drama,116,296289,7.4,52.88,Tim Burton,Johnny Depp,The infamous story of Benjamin Barker a.k.a. Sweeney Todd who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant Mrs. Lovett. Based on the hit Broadway musical.
Solace,Crime,101,36300,6.4,0.50,Afonso Poyart,Anthony Hopkins,A psychic works with the FBI in order to hunt down a serial killer.
Insidious,Horror,103,219916,6.8,53.99,James Wan,Patrick Wilson,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
Popstar: Never Stop Never Stopping,Comedy,87,30875,6.7,9.39,Akiva Schaffer,Andy Samberg,When it becomes clear that his solo album is a failure a former boy band member does everything in his power to maintain his celebrity status.
The Levelling,Drama,83,482,6.4,0.50,Hope Dickson Leach,Ellie Kendrick,Somerset
Public Enemies,Biography,140,240323,7.0,97.03,Michael Mann,Christian Bale,The Feds try to take down notorious American gangsters John Dillinger Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.
Boyhood,Drama,165,286722,7.9,25.36,Richard Linklater,Ellar Coltrane,The life of Mason
Teenage Mutant Ninja Turtles,Action,101,178527,5.9,190.87,Jonathan Liebesman,Megan Fox,When a kingpin threatens New York City a group of mutated turtle warriors must emerge from the shadows to protect their home.
Eastern Promises,Crime,100,198006,7.7,17.11,David Cronenberg,Naomi Watts,A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.
The Daughter,Drama,96,2798,6.7,0.03,Simon Stone,Geoffrey Rush,The story follows a man who returns home to discover a long-buried family secret
Pineapple Express,Action,111,267872,7.0,87.34,David Gordon Green,Seth Rogen,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.
The First Time,Comedy,95,54027,6.9,0.02,Jon Kasdan,Dylan O'Brien,A shy senior and a down-to-earth junior fall in love over one weekend.
Gone Baby Gone,Crime,114,206707,7.7,20.30,Ben Affleck,Morgan Freeman,Two Boston area detectives investigate a little girl's kidnapping which ultimately turns into a crisis both professionally and personally.
The Heat,Action,117,140151,6.6,159.58,Paul Feig,Sandra Bullock,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
L'avenir,Drama,102,5796,7.1,0.28,Mia Hansen-Løve,Isabelle Huppert,A philosophy teacher soldiers through the death of her mother
Anna Karenina,Drama,129,75291,6.6,12.80,Joe Wright,Keira Knightley,In late-19th-century Russian high society St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.
Regression,Crime,106,26320,5.7,0.05,Alejandro Amenábar,Ethan Hawke,A detective and a psychoanalyst uncover evidence of a satanic cult while investigating the rape of a young woman.
Ted 2,Adventure,115,136323,6.3,81.26,Seth MacFarlane,Mark Wahlberg,Newlywed couple Ted and Tami-Lynn want to have a baby but in order to qualify to be a parent Ted will have to prove he's a person in a court of law.
Pain & Gain,Comedy,129,168875,6.5,49.87,Michael Bay,Mark Wahlberg,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.
Blood Diamond,Adventure,143,422014,8.0,57.37,Edward Zwick,Leonardo DiCaprio,A fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond.
Devil's Knot,Biography,114,15514,6.1,0.50,Atom Egoyan,Colin Firth,The savage murders of three young children sparks a controversial trial of three teenagers accused of killing the kids as part of a satanic ritual.
Child 44,Crime,137,47703,6.5,1.21,Daniel Espinosa,Tom Hardy,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.
The Hurt Locker,Drama,131,352023,7.6,15.70,Kathryn Bigelow,Jeremy Renner,During the Iraq War a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.
Green Lantern,Action,114,231907,5.6,116.59,Martin Campbell,Ryan Reynolds,Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force the Green Lantern Corps.
War on Everyone,Action,98,9285,5.9,0.50,John Michael McDonagh,Alexander Skarsgård,Two corrupt cops set out to blackmail and frame every criminal unfortunate enough to cross their path. Events however are complicated by the arrival of someone who appears to be even more dangerous than they are.
The Mist,Horror,126,233346,7.2,25.59,Frank Darabont,Thomas Jane,A freak storm unleashes a species of bloodthirsty creatures on a small town
Escape Plan,Action,115,188004,6.7,25.12,Mikael Håfström,Sylvester Stallone,When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison he has to use his skills to escape with help from the inside.
Love,ComedyRomance,102,80415,7.2,0.01,Christian Ditter,Lily Collins,Rosie and Alex have been best friends since they were 5
The DUFF,Comedy,101,57874,6.5,34.02,Ari Sandel,Mae Whitman,A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier
The Age of Shadows,Action,140,2403,7.2,0.54,Jee-woon Kim,Byung-hun Lee,Japanese agents close in as members of the Korean resistance plan an attack in 1920's Seoul.
The Hunger Games: Mockingjay - Part 1,Action,123,331902,6.7,337.10,Francis Lawrence,Jennifer Lawrence,Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.
We Need to Talk About Kevin,Drama,112,104953,7.5,1.74,Lynne Ramsay,Tilda Swinton,Kevin's mother struggles to love her strange child despite the increasingly vicious things he says and does as he grows up. But Kevin is just getting started and his final act will be beyond anything anyone imagined.
Love & Friendship,Comedy,90,16164,6.5,14.01,Whit Stillman,Kate Beckinsale,Lady Susan Vernon takes up temporary residence at her in-laws' estate and while there is determined to be a matchmaker for her daughter Frederica -- and herself too naturally.
The Mortal Instruments: City of Bones,Action,130,112313,5.9,31.17,Harald Zwart,Lily Collins,When her mother disappears Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.
Seven Pounds,Drama,123,245144,7.7,69.95,Gabriele Muccino,Will Smith,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
The King's Speech,Biography,118,534388,8.0,138.80,Tom Hooper,Colin Firth,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
Hunger,Biography,96,54486,7.6,0.15,Steve McQueen,Stuart Graham,Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike.
Jumper,Action,88,252503,6.1,80.17,Doug Liman,Hayden Christensen,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.
Toy Story 3,Animation,103,586669,8.3,414.98,Lee Unkrich,Tom Hanks,The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
Tinker Tailor Soldier Spy,Drama,122,157053,7.1,24.10,Tomas Alfredson,Gary Oldman,In the bleak days of the Cold War espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet agent within MI6.
Resident Evil: Retribution,Action,96,114144,5.4,42.35,Paul W.S. Anderson,Milla Jovovich,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.
Dear Zindagi,Drama,151,23540,7.8,1.40,Gauri Shinde,Alia Bhatt,Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug an unconventional thinker helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.
Genius,Biography,104,10708,6.5,1.36,Michael Grandage,Colin Firth,A chronicle of Max Perkins's time as the book editor at Scribner where he oversaw works by Thomas Wolfe Ernest Hemingway F. Scott Fitzgerald and others.
Pompeii,Action,105,90188,5.5,23.22,Paul W.S. Anderson,Kit Harington,A slave-turned-gladiator finds himself in a race against time to save his true love who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts he must fight to save his beloved as Pompeii crumbles around him.
Life of Pi,Adventure,127,471109,7.9,124.98,Ang Lee,Suraj Sharma,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away he forms an unexpected connection with another survivor: a fearsome Bengal tiger.
Hachi: A Dog's Tale,Drama,93,177602,8.1,0.50,Lasse Hallström,Richard Gere,A college professor's bond with the abandoned dog he takes into his home.
10 Years,Comedy,100,19636,6.1,0.20,Jamie Linden,Channing Tatum,The night before their high school reunion a group of friends realize they still haven't quite grown up in some ways.
